RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication	
17254200	23286362	22099120	36019395	35859311
17148499	23199719	22176931	36301224	35318965
17337669	23321624	22095189	36297785	35333466
17261670	23243651	22089625	36015153	36043530
17104300	23282816	22120140	35802474	36287590
17178868	23351702	22111355	35364130	35456655
17121900	23204634	22140160	35640598	35624499
17204928	23245067	22144063	34862021	34897314
17338204	23322266	22012521	36227605	35508513
17183057	23230730	22098768	36300407	35380470
17113737	23261889	22087210	35904373	35805231
17292080	23274368	22037372	36330621	35250390
17357817	23175830	22111688	36017916	35378831
17388482	23222195	22033531	36093421	35987650
17360990	23272445	22073149	36332892	36376057
17371959	23250439	22106868	35842730	36397214
17386974	23261115	22071961	35601631	36176465
17145447	23226224	21996881	35578895	36231398
17299703	23347826	22084649	35429985	36274875
17362108	23304705	22081353	35697673	36434637
17347955	23293055	22039742	35691583	36222067
17397189	23274671	22051762	35889542	36491169
17375128	22853601	22111732	35996822	36382383
17388044	23275728	22070675	36301923	36461326
17392650	23326329	22061049	36275480	36323310
17396287	23321722	22114392	36307841	36357990
17409913	23249325	22088464	36140694	36253728
17348142	23142309	22102197	36211285	36457524
17360065	23263734	22116143	36107770	36230321
17295406	23048899	22058479	36263772	36351911
17382171	23162828	22074772	36336799	36279402
17416471	23156408	22104537	36291344	36370659
17418613	23335251	21988151	36307498	36368780
17421062	23301615	21909865	36229455	36219102
17366969	22898705	21680024	36237096	36458906
17335264	23108676	22077418	36208715	36225793
17360215	23056110	22106985	36193120	36311321
17349887	23033964	22037392	36190815	36275967
17361261	23091232	22062251	36150819	36279481
17221473	23029302	21880057	36228681	36282298
17380978	23201355	21871036	36295914	36205123
17341445	23386068	22103516	36283048	36223615
17218360	23081542	22091421	36209948	36240510
17165634	23138089	22129259	36199750	36268046
17382262	22918322	22176966	36252400	36247801
17396538	23066901	22089401	36284312	36288183
17394710	23109738	22143475	36271177	36247420
17383586	22907198	22077033	35748783	36464158
17415337	23181906	22086942	36053692	36227237
17130042	23289974	22107543	36132258	36329486
17345882	23338050	22125553	36170054	36215639
17266737	23080322	22130493	36161003	36371505
17359233	23235604	22165611	36142849	36197129
17401993	23335687	22087098	36198452	36192177
17350673	23244445	22139401	36206277	36275177
17388497	23321074	22172132	36251218	36361256
17359308	23283732	22140386	36294742	36275559
17406019	23401808	22137661	36308302	36242717
17392018	23322679	22062188	36313128	36374151
17377230	23313066	22037372	36261497	36277020
17331404	23328131	22108564	36208623	36284759
17361885	23350644	22079656	36023405	36402328
17389740	23313561	22079783	36236177	36481864
17380048	23356185	22132389	36255055	36487880
17211452	23403517	22095184	36220899	36139440
17393588	23313914	22132482	36283746	35576528
17391606	23342991	21749901	36315435	36369891
17374377	23327984	21742746	36324419	36246829
17330731	23352073	22076346	36256567	36274822
17376161	23279401	22124579	36218656	36397280
17331617	23274233	22058586	36252952	36368899
17184578	23252174	22088800	36284443	36324801
17324657	23326574	22129915	36301330	36486722
17362135	23188717	22125470	36245778	36492834
17387926	23256473	22073461	36276585	36354303
17374742	23081436	22089635	36224914	36420797
17375243	23210046	22091719	36179332	36378095
17361439	23291216	22092260	36159460	36483900
17375204	23317578	22071347	36155329	36499507
17417366	22974156	22085517	36262431	36506476
17422067	23259627	22037469	36140837	36312587
17068903	23285500	22107552	36164730	36263062
17391742	23346616	22084981	35992300	36375382
17350574	23288791	22113003	36182238	36292806
17342654	23279423	22129514	36244070	36255239
17325074	23310061	22079202	36315383	36285997
17357531	23307697	22118956	36267849	36236689
17333134	23329709	22061399	36273717	36241824
17356160	23271746	22106115	36294386	36270256
17323549	23280279	21559892	36162624	36406370
17375708	23280301	22163208	36275914	36282666
17368676	23322364	22170245	36177696	36284285
17297075	23276985	22183420	36227893	36215154
17325002	23311832	21766859	36261445	36307827
17369231	23257014	21971628	36138970	36219102
17382803	23310778	22009091	36079956	36362591
17210228	23271281	22085215	36188955	36468080
17259293	23297711	22075791	36239854	36497509
