RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication
17261694	23413643	23665071	35940905	35786344
17341728	23403928	23271920	36005324	35666327
17297099	23421562	23598502	35996005	34822809
17300657	23450815	23340333	35976075	35004739
17347449	23409395	23068742	36014440	35228075
17419296	23349717	23274915	35074784	35214826
17056501	23447505	22726782	35904476	34950162
17309653	22787441	23131495	35873705	34970415
17333840	23395725	23634616	35947611	34980702
17299541	23373961	23743404	36025131	35258904
17350751	23432698	22712648	36002018	36207129
17379851	23432291	23308306	36061766	36019434
17353392	23422725	23519577	36016022	35984594
17310343	23343667	23129168	35983558	36142183
17333512	23438942	23320531	36023132	36413131
17258021	23327478	23246801	35971287	36295559
17349120	23469120	22682999	35553267	36120003
17284531	23212735	23764540	35977033	36412495
17281791	23409911	22872183	36030673	36327322
16881489	23337413	23654440	35886116	36419391
17270706	23436586	23520540	35943270	36230138
17243094	23298238	23463410	36070247	36256409
17328773	23425474	23141505	36029102	35804936
17296408	22964960	23339799	34662057	36218708
17285767	23444190	23709874	35946125	36246014
17283590	23351767	23537353	35916572	36052197
17259591	23406886	22826286	35921565	36430137
17353353	23452647	22548061	36037594	34140832
17087845	23431605	23794119	36025806	36225885
17363281	23325236	23734117	36077079	35917514
17300415	23515308	23693004	35914096	36146690
17332302	23382252	23670644	36042231	36184804
17317942	23466108	23676445	35961689	36167934
17336418	23339532	22971823	36002524	35991354
17265497	23479061	23309528	35923514	36129908
17335814	23307616	23085843	35969605	36057527
17262123	23432412	23065629	36053367	35929709
17352552	23438289	23731267	35908499	36125484
17378441	23501668	23596726	35956400	35751441
17283127	23255127	23790910	36012144	36128838
17277301	23423531	23085320	35890765	35890031
17289707	23313023	23266597	35950493	36103533
17317720	23410749	23585689	35804987	35903058
17036779	23320509	23348382	36009162	36152152
17293899	23484150	23386741	35953931	36103246
17222505	23440629	23299584	35861664	36112177
17120877	23377261	23736607	35992922	36047038
17171974	23332708	23778492	35932563	36098502
17101787	23505093	23787695	35530680	35869626
17270736	22949333	23770263	35922701	36046635
17096735	22511728	23772427	34748959	36074242
